"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type"
223912902,15,"2018-01-01 12:04:00","2018-01-01 12:19:00",3025,39.937241,-75.161201,3072,39.934448,-75.145409,11821,0,"One Way","Walk-up"
223912900,5,"2018-01-01 12:06:00","2018-01-01 12:11:00",3007,39.945171,-75.159927,3028,39.940609,-75.149582,"05375",30,"One Way","Indego30"
223912901,13,"2018-01-01 12:06:00","2018-01-01 12:19:00",3025,39.937241,-75.161201,3072,39.934448,-75.145409,"03354",0,"One Way","Walk-up"
223978693,1163,"2018-01-01 12:07:00","2018-01-02 07:30:00",3007,39.945171,-75.159927,3125,39.943909,-75.167351,"05315",30,"One Way","Indego30"
223912899,7,"2018-01-01 12:16:00","2018-01-01 12:23:00",3059,39.962650,-75.161743,3070,39.960621,-75.139832,"03724",30,"One Way","Indego30"
223916596,19,"2018-01-01 12:55:00","2018-01-01 13:14:00",3102,39.967590,-75.179520,3004,39.953781,-75.163742,"02579",0,"One Way","Walk-up"
223916595,10,"2018-01-01 12:59:00","2018-01-01 13:09:00",3012,39.942181,-75.177467,3020,39.949219,-75.190361,11900,30,"One Way","Indego30"
223916594,18,"2018-01-01 13:18:00","2018-01-01 13:36:00",3068,39.935490,-75.167107,3100,39.927769,-75.151031,11042,30,"One Way","Indego30"
223916593,4,"2018-01-01 13:23:00","2018-01-01 13:27:00",3010,39.947109,-75.166183,3052,39.947319,-75.156952,11837,30,"One Way","Indego30"
223916592,12,"2018-01-01 13:24:00","2018-01-01 13:36:00",3019,39.954029,-75.149834,3116,39.960060,-75.171982,11960,30,"One Way","Indego30"
223916590,9,"2018-01-01 13:37:00","2018-01-01 13:46:00",3007,39.945171,-75.159927,3063,39.946331,-75.169800,"02602",30,"One Way","Indego30"
223916591,9,"2018-01-01 13:37:00","2018-01-01 13:46:00",3150,39.928841,-75.170212,3010,39.947109,-75.166183,11026,30,"One Way","Indego30"
223916588,7,"2018-01-01 13:39:00","2018-01-01 13:46:00",3121,39.972740,-75.179390,3058,39.967159,-75.170013,"03596",365,"One Way","Indego365"
223916589,7,"2018-01-01 13:39:00","2018-01-01 13:46:00",3121,39.972740,-75.179390,3058,39.967159,-75.170013,"03691",365,"One Way","Indego365"
223916587,3,"2018-01-01 13:40:00","2018-01-01 13:43:00",3066,39.945610,-75.173477,3032,39.945271,-75.179710,"03288",30,"One Way","Indego30"
223920307,6,"2018-01-01 13:54:00","2018-01-01 14:00:00",3054,39.962502,-75.174202,3021,39.953899,-75.169022,"03415",30,"One Way","Indego30"
223920306,14,"2018-01-01 14:06:00","2018-01-01 14:20:00",3011,39.959492,-75.196899,3023,39.950481,-75.172859,"03411",30,"One Way","Indego30"
223920305,17,"2018-01-01 14:13:00","2018-01-01 14:30:00",3051,39.967442,-75.175072,3007,39.945171,-75.159927,11924,0,"One Way","Walk-up"
223920304,14,"2018-01-01 14:19:00","2018-01-01 14:33:00",3068,39.935490,-75.167107,3023,39.950481,-75.172859,"03668",30,"One Way","Indego30"
223920301,10,"2018-01-01 14:26:00","2018-01-01 14:36:00",3070,39.960621,-75.139832,3059,39.962650,-75.161743,"02510",30,"One Way","Indego30"
223920302,7,"2018-01-01 14:26:00","2018-01-01 14:33:00",3028,39.940609,-75.149582,3052,39.947319,-75.156952,"03511",30,"One Way","Indego30"
223920303,6,"2018-01-01 14:26:00","2018-01-01 14:32:00",3020,39.949219,-75.190361,3163,39.949741,-75.180969,"05308",30,"One Way","Indego30"
223920299,23,"2018-01-01 14:35:00","2018-01-01 14:58:00",3157,39.925449,-75.159538,3158,39.925522,-75.169037,11862,30,"One Way","Indego30"
223920300,23,"2018-01-01 14:35:00","2018-01-01 14:58:00",3157,39.925449,-75.159538,3158,39.925522,-75.169037,"03395",30,"One Way","Indego30"
223920298,3,"2018-01-01 14:40:00","2018-01-01 14:43:00",3027,39.956940,-75.200691,3011,39.959492,-75.196899,"03428",30,"One Way","Indego30"
223920297,11,"2018-01-01 14:44:00","2018-01-01 14:55:00",3099,39.934010,-75.150940,3064,39.938400,-75.173271,11871,30,"One Way","Indego30"
223920295,8,"2018-01-01 14:45:00","2018-01-01 14:53:00",3064,39.938400,-75.173271,3025,39.937241,-75.161201,11758,365,"One Way","Indego365"
223920296,14,"2018-01-01 14:45:00","2018-01-01 14:59:00",3059,39.962650,-75.161743,3045,39.947922,-75.162369,"02686",30,"One Way","Indego30"
223920294,10,"2018-01-01 14:46:00","2018-01-01 14:56:00",3046,39.950119,-75.144722,3052,39.947319,-75.156952,"03362",30,"One Way","Indego30"
223924033,58,"2018-01-01 14:46:00","2018-01-01 15:44:00",3158,39.925522,-75.169037,3158,39.925522,-75.169037,11802,30,"Round Trip","Indego30"
223942964,326,"2018-01-01 14:50:00","2018-01-01 20:16:00",3020,39.949219,-75.190361,3000,"","","05343",30,"One Way","Indego30"
223920292,6,"2018-01-01 14:52:00","2018-01-01 14:58:00",3064,39.938400,-75.173271,3066,39.945610,-75.173477,"03450",30,"One Way","Indego30"
223920293,6,"2018-01-01 14:52:00","2018-01-01 14:58:00",3064,39.938400,-75.173271,3066,39.945610,-75.173477,"03521",30,"One Way","Indego30"
223924030,24,"2018-01-01 14:52:00","2018-01-01 15:16:00",3012,39.942181,-75.177467,3099,39.934010,-75.150940,"02571",30,"One Way","Indego30"
223920291,1,"2018-01-01 14:55:00","2018-01-01 14:56:00",3112,39.953732,-75.218246,3112,39.953732,-75.218246,11763,0,"Round Trip","Walk-up"
223924027,26,"2018-01-01 14:56:00","2018-01-01 15:22:00",3041,39.968491,-75.135460,3108,39.953159,-75.165512,"05197",30,"One Way","Indego30"
223924028,6,"2018-01-01 14:56:00","2018-01-01 15:02:00",3049,39.945091,-75.142502,3015,39.947350,-75.148857,11933,30,"One Way","Indego30"
223924026,16,"2018-01-01 15:02:00","2018-01-01 15:18:00",3074,39.955109,-75.209869,3156,39.953812,-75.174072,11915,30,"One Way","Indego30"
223924024,14,"2018-01-01 15:07:00","2018-01-01 15:21:00",3034,39.933151,-75.162483,3033,39.950050,-75.156723,11809,365,"One Way","Indego365"
223924023,8,"2018-01-01 15:08:00","2018-01-01 15:16:00",3120,39.975220,-75.186691,3095,39.987709,-75.180519,"05405",30,"One Way","Indego30"
223924022,20,"2018-01-01 15:19:00","2018-01-01 15:39:00",3102,39.967590,-75.179520,3004,39.953781,-75.163742,"03547",0,"One Way","Walk-up"
223924021,28,"2018-01-01 15:22:00","2018-01-01 15:50:00",3159,39.951210,-75.199623,3163,39.949741,-75.180969,"02620",0,"One Way","Walk-up"
223924020,16,"2018-01-01 15:24:00","2018-01-01 15:40:00",3010,39.947109,-75.166183,3163,39.949741,-75.180969,11026,0,"One Way","Walk-up"
223924019,13,"2018-01-01 15:25:00","2018-01-01 15:38:00",3120,39.975220,-75.186691,3054,39.962502,-75.174202,"03328",30,"One Way","Indego30"
223924018,10,"2018-01-01 15:31:00","2018-01-01 15:41:00",3045,39.947922,-75.162369,3030,39.939350,-75.157158,"03719",0,"One Way","Walk-up"
223924017,13,"2018-01-01 15:36:00","2018-01-01 15:49:00",3033,39.950050,-75.156723,3073,39.961430,-75.152420,11950,30,"One Way","Indego30"
223924016,6,"2018-01-01 15:38:00","2018-01-01 15:44:00",3039,39.971210,-75.159698,3016,39.968922,-75.154701,"05356",30,"One Way","Indego30"
223924015,9,"2018-01-01 15:41:00","2018-01-01 15:50:00",3158,39.925522,-75.169037,3157,39.925449,-75.159538,11876,30,"One Way","Indego30"
223924013,8,"2018-01-01 15:42:00","2018-01-01 15:50:00",3158,39.925522,-75.169037,3157,39.925449,-75.159538,"03395",30,"One Way","Indego30"
223924014,13,"2018-01-01 15:42:00","2018-01-01 15:55:00",3033,39.950050,-75.156723,3034,39.933151,-75.162483,11809,365,"One Way","Indego365"
223931541,81,"2018-01-01 15:44:00","2018-01-01 17:05:00",3158,39.925522,-75.169037,3150,39.928841,-75.170212,11802,30,"One Way","Indego30"
223924012,8,"2018-01-01 15:45:00","2018-01-01 15:53:00",3004,39.953781,-75.163742,3054,39.962502,-75.174202,"03547",30,"One Way","Indego30"
223931539,58,"2018-01-01 16:05:00","2018-01-01 17:03:00",3165,39.958191,-75.178200,3095,39.987709,-75.180519,"05117",30,"One Way","Indego30"
223927763,14,"2018-01-01 16:09:00","2018-01-01 16:23:00",3054,39.962502,-75.174202,3063,39.946331,-75.169800,"03360",0,"One Way","Walk-up"
223927764,5,"2018-01-01 16:09:00","2018-01-01 16:14:00",3161,39.954861,-75.180908,3156,39.953812,-75.174072,"05262",30,"One Way","Indego30"
223927760,11,"2018-01-01 16:13:00","2018-01-01 16:24:00",3039,39.971210,-75.159698,3153,39.972160,-75.129936,"03510",30,"One Way","Indego30"
223927761,9,"2018-01-01 16:13:00","2018-01-01 16:22:00",3054,39.962502,-75.174202,3063,39.946331,-75.169800,"03328",0,"One Way","Walk-up"
223927758,11,"2018-01-01 16:25:00","2018-01-01 16:36:00",3038,39.947811,-75.194092,3101,39.942951,-75.159554,"03439",30,"One Way","Indego30"
