trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
365197827,2,1/1/2021 11:03,1/1/2021 11:05,3212,39.963791,-75.18158,3057,39.96439,-75.179871,3424,30,One Way,Indego30,standard
365197928,3,1/1/2021 11:05,1/1/2021 11:08,3057,39.96439,-75.179871,3054,39.962502,-75.174202,3637,30,One Way,Indego30,standard
365198551,30,1/1/2021 11:06,1/1/2021 11:36,3212,39.963791,-75.18158,3098,39.934311,-75.160423,5329,30,One Way,Indego30,standard
365198550,30,1/1/2021 11:06,1/1/2021 11:36,3212,39.963791,-75.18158,3098,39.934311,-75.160423,14606,30,One Way,Indego30,standard
365199001,48,1/1/2021 11:07,1/1/2021 11:55,3028,39.940609,-75.149582,3028,39.940609,-75.149582,14485,30,Round Trip,Indego30,standard
365198231,14,1/1/2021 11:08,1/1/2021 11:22,3077,39.972069,-75.163513,3088,39.969841,-75.1418,14718,30,One Way,Indego30,standard
365198547,29,1/1/2021 11:09,1/1/2021 11:38,3118,39.95866,-75.213226,3120,39.97522,-75.186691,14559,30,One Way,Indego30,standard
365198027,3,1/1/2021 11:11,1/1/2021 11:14,3118,39.95866,-75.213226,3074,39.955109,-75.209869,5210,30,One Way,Indego30,standard
365199165,50,1/1/2021 11:11,1/1/2021 12:01,3212,39.963791,-75.18158,3212,39.963791,-75.18158,14630,365,Round Trip,Indego365,standard
365198229,9,1/1/2021 11:12,1/1/2021 11:21,3021,39.953899,-75.169022,3059,39.96244,-75.161209,14620,365,One Way,Indego365,standard
365198332,11,1/1/2021 11:15,1/1/2021 11:26,3074,39.955109,-75.209869,3071,39.961731,-75.187881,5210,30,One Way,Indego30,standard
365198432,12,1/1/2021 11:21,1/1/2021 11:33,3013,39.963169,-75.147919,3058,39.967159,-75.170013,11712,30,One Way,Indego30,standard
365198431,12,1/1/2021 11:21,1/1/2021 11:33,3013,39.963169,-75.147919,3058,39.967159,-75.170013,11793,30,One Way,Indego30,standard
365198329,8,1/1/2021 11:21,1/1/2021 11:29,3072,39.934448,-75.145409,3101,39.942951,-75.159554,19157,30,One Way,Indego30,electric
365198328,6,1/1/2021 11:21,1/1/2021 11:27,3200,39.97583,-75.168457,3056,39.976688,-75.158127,11952,30,One Way,Indego30,standard
365198537,11,1/1/2021 11:25,1/1/2021 11:36,3116,39.96006,-75.171982,3012,39.942181,-75.177467,3289,365,One Way,Indego365,standard
365198851,25,1/1/2021 11:25,1/1/2021 11:50,3054,39.962502,-75.174202,3022,39.95472,-75.183228,3637,30,One Way,Indego30,standard
365198428,9,1/1/2021 11:25,1/1/2021 11:34,3086,39.940189,-75.166908,3182,39.950809,-75.169533,5183,365,One Way,Indego365,standard
365198535,11,1/1/2021 11:25,1/1/2021 11:36,3116,39.96006,-75.171982,3012,39.942181,-75.177467,11864,30,One Way,Indego30,standard
365198327,3,1/1/2021 11:26,1/1/2021 11:29,3053,39.932308,-75.181541,3114,39.937752,-75.180122,11853,30,One Way,Indego30,standard
365198533,11,1/1/2021 11:27,1/1/2021 11:38,3071,39.961731,-75.187881,3120,39.97522,-75.186691,16435,30,One Way,Indego30,electric
365198635,13,1/1/2021 11:27,1/1/2021 11:40,3050,39.953388,-75.154259,3157,39.925449,-75.159538,19866,365,One Way,Indego365,electric
365199562,55,1/1/2021 11:29,1/1/2021 12:24,3187,39.957249,-75.172318,3187,39.957249,-75.172318,14694,30,Round Trip,Indego30,standard
365198532,6,1/1/2021 11:29,1/1/2021 11:35,3037,39.954239,-75.161377,3060,39.959229,-75.170357,3568,30,One Way,Indego30,standard
365199873,65,1/1/2021 11:31,1/1/2021 12:36,3045,39.947922,-75.162369,3210,39.984921,-75.156677,5197,30,One Way,Indego30,standard
365198735,12,1/1/2021 11:35,1/1/2021 11:47,3197,39.92083,-75.170326,3158,39.925522,-75.169037,14586,30,One Way,Indego30,standard
365198633,9,1/1/2021 11:35,1/1/2021 11:44,3197,39.92083,-75.170326,3068,39.93549,-75.167107,11813,30,One Way,Indego30,standard
365198842,17,1/1/2021 11:35,1/1/2021 11:52,3060,39.959229,-75.170357,3120,39.97522,-75.186691,14645,30,One Way,Indego30,standard
365201314,121,1/1/2021 11:36,1/1/2021 13:37,3153,39.97216,-75.129936,3153,39.97216,-75.129936,3545,365,Round Trip,Indego365,standard
365199757,55,1/1/2021 11:37,1/1/2021 12:32,3057,39.96439,-75.179871,3057,39.96439,-75.179871,3424,30,Round Trip,Indego30,standard
365198728,6,1/1/2021 11:39,1/1/2021 11:45,3056,39.976688,-75.158127,3200,39.97583,-75.168457,3414,30,One Way,Indego30,standard
